City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,wailua homesteads,22.0669,-159.378,23.44,81,20,3.6,US,1696249192
1,taiohae,22.0669,-159.378,23.44,81,20,3.6,US,1696249192
2,puerto natales,-51.7236,-72.4875,3.25,75,100,3.09,CL,1696248975
3,arkhangel'sk,64.5401,40.5433,9.51,95,75,3.84,RU,1696249193
4,bel ombre,-4.6167,55.4167,28.91,74,40,6.17,SC,1696249193
5,invercargill,-46.4,168.35,5.57,72,51,1.34,NZ,1696249194
6,stanley,54.868,-1.6985,15.16,83,20,2.57,GB,1696249194
7,touros,-5.1989,-35.4608,26.14,76,77,8.77,BR,1696249194
8,launceston,-41.45,147.1667,9.8,87,0,2.57,AU,1696249064
9,port-aux-francais,-49.35,70.2167,0.29,63,85,17.47,TF,1696249195
10,mulanje,-16.0316,35.5,30.14,35,23,4.58,MW,1696249195
11,ulladulla,-35.35,150.4667,20.43,68,91,2.14,AU,1696249196
12,uturoa,-16.7333,-151.4333,25.74,82,2,6.25,PF,1696249196
13,chernyshevskiy,63.0128,112.4714,-2.55,79,99,3.26,RU,1696249196
14,keflavik,64.0049,-22.5624,9.95,71,20,9.26,IS,1696249197
15,fada,9.5667,8.3,27.01,71,94,1.71,NG,1696249197
16,praya,14.9215,-23.5087,31.3,62,0,7.2,CV,1696248925
17,severo-yeniseyskiy,60.3725,93.0408,-3.01,87,98,3.58,RU,1696249198
18,bejaia,36.7559,5.0843,26.6,61,0,3.09,DZ,1696249198
19,georgetown,5.4112,100.3354,29.97,80,40,2.06,MY,1696249198
20,badger,64.8,-147.5333,1.93,93,100,3.6,US,1696249199
21,waitangi,-43.9535,-176.5597,13.79,89,94,4.92,NZ,1696249199
22,chonchi,-42.6128,-73.8092,5.62,96,44,0.36,CL,1696249199
23,alotau,-42.6128,-73.8092,5.62,96,44,0.36,CL,1696249199
24,kodiak,57.79,-152.4072,8.73,76,100,5.66,US,1696249200
25,adamstown,-25.066,-130.1015,20.48,74,26,10.52,PN,1696249201
26,tiksi,71.6872,128.8694,-4.28,85,54,2.44,RU,1696249201
27,ushuaia,-54.8,-68.3,2.81,65,40,3.6,AR,1696249201
28,iskateley,67.6803,53.1512,7.23,92,100,6.71,RU,1696249202
29,timbuktu,16.7735,-3.0074,38.92,22,43,5.51,ML,1696249203
30,aasiaat,68.7098,-52.8699,-5.38,75,35,6.24,GL,1696249207
31,codrington,-38.2667,141.9667,15.58,62,0,3.91,AU,1696249207
32,pointe michel,15.25,-61.3833,30.52,79,75,3.09,DM,1696249208
33,heihe,50.2441,127.4902,9.03,73,69,1.54,CN,1696249208
34,yellowknife,62.456,-114.3525,4.12,100,100,1.03,CA,1696249122
35,papao,-17.75,-149.55,24.82,85,10,9.6,PF,1696249209
36,yallahs,17.8748,-76.5624,28.85,82,49,0.9,JM,1696249209
37,hasaki,35.7333,140.8333,18.22,50,91,7.16,JP,1696249209
